"filename", "language", "JSON", "TypeScript", "XML", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\auth.ts.html", "HTML", 0, 0, 0, 0, 0, 134, 0, 14, 148
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\email.ts.html", "HTML", 0, 0, 0, 0, 0, 134, 0, 14, 148
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\index.html", "HTML", 0, 0, 0, 0, 0, 172, 0, 19, 191
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\jira.ts.html", "HTML", 0, 0, 0, 0, 0, 134, 0, 14, 148
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\projects.ts.html", "HTML", 0, 0, 0, 0, 0, 224, 0, 14, 238
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\report.ts.html", "HTML", 0, 0, 0, 0, 0, 350, 0, 14, 364
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\timer\index.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 14, 116
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\timer\index.ts.html", "HTML", 0, 0, 0, 0, 0, 644, 0, 14, 658
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\everhoury_backend\utils\user.ts.html", "HTML", 0, 0, 0, 0, 0, 80, 0, 14, 94
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\index.html", "HTML", 0, 0, 0, 0, 0, 354, 0, 32, 386
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\prettify.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\prettify.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\coverage\lcov-report\sorter.js", "JavaScript", 0, 0, 0, 0, 165, 0, 17, 15, 197
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\config.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\client.dto.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Darius\Desktop\Projects\everhoury\everhoury_backend\db\dto\project.dto.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1
